ALLEN, SIR W. DENIS	1949	1952	Head of German Political Department Foreign Office 	
ALLEN, SIR W. DENIS	1952	1953	Head of Central Department Foreign Office 	
ALLEN, SIR W. DENIS	1953	1956	Assistant Under-Secretary for Foreign Affairs (Asia) Foreign Office 	
ALLEN, SIR W. DENIS	1956	1959	Deputy Under-Secretary for Foreign Affairs and Chief Clerk Foreign Office 	
ALLEN, SIR W. DENIS	1959	1963	Deputy Commissioner-General for South-East Asia 	
ALLEN, SIR W. DENIS	1963	1967	Ambassador to Turkey 	
ALLEN, SIR W. DENIS	1967	1969	Deputy Under-Secretary for Foreign Affairs (Middle East Africa and Asia/Middle East and North America) 	
ALLINSON, SIR W. LEONARD	1969	1970	Head of Permanent Under-Secretary’s Department Foreign and Commonwealth Office 	Q6525066
ALLINSON, SIR W. LEONARD	1970	1972	Counsellor and Head of Chancery High Commission Kenya 	Q6525066
ALLINSON, SIR W. LEONARD	1972	1973	Deputy High Commissioner Kenya 	Q6525066
ALLINSON, SIR W. LEONARD			Inspector 	Q6525066
ALLINSON, SIR W. LEONARD	1975	1978	Minister and Deputy High Commissioner India 	Q6525066
ALLINSON, SIR W. LEONARD	1978	1980	High Commissioner to Zambia 	Q6525066
ALLINSON, SIR W. LEONARD	1980	1982	Assistant Under-Secretary for Foreign and Commonwealth Affairs (Africa) 	Q6525066
ALLINSON, SIR W. LEONARD	1982	1986	High Commissioner to Kenya 	Q6525066
ALMOND, T. CLIVE	1987	1988	Ambassador to the People’s Republic of the Congo 	Q56808165
ALMOND, T. CLIVE	1992	1998	Consul-General Bordeaux 	Q56808165
ALSTON, SIR FRANCIS B.	1857	1859	Senior Clerk Russian Department Foreign Office 	
ALSTON, SIR FRANCIS B.	1859	1866	Senior Clerk Asiatic and U.S.A. Department Foreign Office 	
ALSTON, SIR FRANCIS B.	1866	1890	Chief Clerk Foreign Office 	
ALSTON, Rt. Hon. SIR BEILBY F.	1906	1907	Acting Senior Clerk Consular Department Foreign Office 	Q15971049
ALSTON, Rt. Hon. SIR BEILBY F.	1907	1916	Senior Clerk Far East Department Foreign Office 	Q15971049
ALSTON, Rt. Hon. SIR BEILBY F.			Acting Counsellor Embassy China 1913-1914 and 1916-1917	Q15971049
ALSTON, Rt. Hon. SIR BEILBY F.	1920	1922	Minister to China 	Q15971049
ALSTON, Rt. Hon. SIR BEILBY F.	1922	1925	Minister to Argentina 	Q15971049
ALSTON, Rt. Hon. SIR BEILBY F.	1925	1927	Ambassador to Brazil 	Q15971049
ALSTON, ROBERT J.	1981	1984	Counsellor and Head of Chancery U.K. Delegation to N.A.T.O. 	Q7341475
ALSTON, ROBERT J.	1984	1986	Head of Defence Department Foreign and Commonwealth Office 	Q7341475
ALSTON, ROBERT J.	1986	1990	Ambassador to Oman 	Q7341475
ALSTON, ROBERT J.	1992	1994	Assistant Under-Secretary for Foreign and Commonwealth Affairs (Public Departments) 	Q7341475
ALSTON, ROBERT J.	1994	1998	High Commissioner to New Zealand 	Q7341475
AMHERST, Rt. Hon. WILLIAM P., 1st LORD	1809	1811	Minister to the Two Sicilies 	Q142609
AMHERST, Rt. Hon. WILLIAM P., 1st LORD	1823	1828	Governor-General of India 	Q142609
AMORY, Rt. Hon. DERICK, 1st VISCOUNT	1961	1963	High Commissioner to Canada 	Q334287
AMOS, Rt. Hon. BARONESS	2009	2010	High Commissioner to Australia 	
AMY, DENNIS O.	1985	1986	Head of Migration and Visa Department Foreign and Commonwealth Office 	
AMY, DENNIS O.	1986	1989	Consul-General Bordeaux 	
AMY, DENNIS O.	1990	1992	Ambassador to Madagascar 	
ANDERSON, DAVID H.	1987	1989	Deputy Legal Adviser Foreign and Commonwealth Office 	
ANDERSON, DAVID H.	1989	1996	Second Legal Adviser Foreign and Commonwealth Office 	
ANDERSON, GEORGE D.			Counsellor Embassy Ireland 	
ANDERSON, GEORGE D.	1960	1961	Head of Technical Assistance Department Commonwealth Relations Office 	
ANDERSON, GEORGE D.	1961	1966	Deputy High Commissioner Ceylon 	
ANDERSON, GEORGE D.	1967	1969	Counsellor and Head of Chancery High Commission Nigeria 	
ANDERSON, GEORGE D.	1969	1973	High Commissioner to Botswana 	
ANDERSON, SIR H. PERCY	1873	1883	Senior Clerk German Department Foreign Office 	
ANDERSON, SIR H. PERCY	1883	1893	Senior Clerk Consular and African Department Foreign Office 	
ANDERSON, SIR H. PERCY	1894	1896	Assistant Under-Secretary for Foreign Affairs 	
ANDERSON, JENNIFER E.	2010	2013	High Commissioner to Botswana 	Q19870683
ANDERSON, JENNIFER E.	2014	2016	Head of Counter-Terrorism Department Foreign and Commonwealth Office 	Q19870683
ANDERSON, JENNIFER E.	2017		Minister Counsellor and Deputy Head of Mission Turkey 	Q19870683
ANDREWS, CYRIL F.W.	1943	1945	Minister to the Dominican Republic 	
ANDREWS, CYRIL F.W.	1947	1949	Consul-General Lourenco Marques 	
ANDREWS, CYRIL F.W.	1949	1952	Consul-General Algiers 	
ANGLIN, ERIC J.	1973	1976	Inspector 	
ANGLIN, ERIC J.	1978	1979	Charge d’Affaires Chile 	
ANGLIN, ERIC J.	1979	1983	Consul-General Melbourne Australia 	
ANGST, SIR HENRY	1896	1915	Consul-General Zurich 	
ANNELLS, VICTOR	2011	2014	Consul-General Milan 	
ANNELLS, VICTOR	2014		Director U.K. Trade and Investment Saudi Arabia 	
ANNESLEY, GEORGE R.L.	1880	1885	Consul-General Hamburg 	
ANSTEY, SIDNEY H.	1966	1967	Consul-General Bilbao 	
ANSTEY, SIDNEY H.	1968	1970	Consul-General Atlanta 	
ANTROBUS, GIBBS C.	1816	1821	Secretary of Legation U.S.A. 	Q17180507
ANTROBUS, GIBBS C.	1823	1824	Secretary of Legation. Sardinia-Piedmont 	Q17180507
ANTROBUS, GIBBS C.	1824	1826	Secretary of Legation The Two Sicilies 	Q17180507
ANTROBUS, MAURICE E.	1935	1939	Political Secretary High Commission South Africa 	
ANTROBUS, MAURICE E.	1941	1944	Official Secretary High Commission Australia 	
ANTROBUS, MAURICE E.	1944	1945	Official Secretary High Commission New Zealand 	
ANTROBUS, MAURICE E.	1952	1954	Head of General Department Commonwealth Relations Office 	
ANTROBUS, MAURICE E.	1954	1955	Head of Protocol Department Commonwealth Relations Office 	
APPLEYARD, SIR LEONARD V.	1979	1982	Financial Counsellor France 	
APPLEYARD, SIR LEONARD V.	1982	1984	Head of Economic Relations Department Foreign and Commonwealth Office 	
APPLEYARD, SIR LEONARD V.	1984	1986	Principal Private Secretary to the Foreign Secretary 	
APPLEYARD, SIR LEONARD V.	1986	1989	Ambassador to Hungary 	
APPLEYARD, SIR LEONARD V.	1989	1991	Deputy Secretary (Overseas and Defence) Cabinet Office 	
APPLEYARD, SIR LEONARD V.	1991	1994	Deputy Under-Secretary for Foreign and Commonwealth Affairs and Political Director 	
APPLEYARD, SIR LEONARD V.	1994	1997	Ambassador to China 	
ARBUTHNOT, Rt. Hon. CHARLES	1795	1799	Secretary of Legation Sweden 	
ARBUTHNOT, Rt. Hon. CHARLES	1802	1804	Envoy to Sweden 	
ARBUTHNOT, Rt. Hon. CHARLES	1804	1807	Ambassador to Turkey 	
ARBUTHNOTT, HUGH J.	1975	1977	Head of European Integration (External) Department Foreign and Commonwealth Office 	
ARBUTHNOTT, HUGH J.	1978	1980	Economic Counsellor France 	
ARBUTHNOTT, HUGH J.	1980	1983	Counsellor and Head of Chancery Embassy France 	
ARBUTHNOTT, HUGH J.	1986	1989	Ambassador to Romania 	
ARBUTHNOTT, HUGH J.	1989	1993	Ambassador to Portugal 	
ARBUTHNOTT, HUGH J.	1993	1996	Ambassador to Denmark 	
ARCHER, GRAHAM R.	1982	1986	Counsellor and Head of Chancery Embassy South Africa 	
ARCHER, GRAHAM R.	1986	1990	Counsellor Embassy the Netherlands 	
ARCHER, GRAHAM R.	1990	1994	Head of Republic of Ireland Department Foreign and Commonwealth Office 	
ARCHER, GRAHAM R.	1995	1999	High Commissioner to Malta 	
ARCHER, NICHOLAS S.	2001	2002	Head of North East Asia and Pacific Department Foreign and Commonwealth Office 	
ARCHER, NICHOLAS S.	2002	2005	Head of Near East and North Africa Department Foreign and Commonwealth Office 	
ARCHER, NICHOLAS S.	2005	2008	High Commissioner to Malta 	
ARCHER, NICHOLAS S.	2008	2012	Ambassador to Denmark 	
ARCHER, NICHOLAS S.	2014	2017	Managing Director Policy and Network Development U.K. Trade and Investment 	
ARCHER, NICHOLAS S.	2018		Ambassador to the Czech Republic 	
ARCHER, NORMAN E.	1932	1936	Official Secretary High Commission Canada 	
ARCHER, NORMAN E.	1939	1940	Principal Private Secretary to the Secretary of State for the Dominions 	
ARCHER, NORMAN E.	1941	1944	Assistant Secretary Dominions Office 	
ARCHER, NORMAN E.	1948	1949	Assistant Under-Secretary for Commonwealth Relations 	
ARCHIBALD, SIR EDWARD M.	1871	1883	Consul-General New York 	
ARCULUS, SIR RONALD	1970	1972	Head of Science and Technology Department Foreign and Commonwealth Office 	Q25341909
ARCULUS, SIR RONALD	1973	1977	Minister (Economic) France 	Q25341909
ARCULUS, SIR RONALD	1977	1979	Leader U.K. Delegation to U.N. Conference on Law of the Sea 	Q25341909
ARCULUS, SIR RONALD	1979	1983	Ambassador to Italy 	Q25341909
ARKWRIGHT, PAUL T.	2001	2005	Counsellor (Political) U.K. Delegation to N.A.T.O. 	Q15989806
ARKWRIGHT, PAUL T.	2006	2009	Head of Counter-Proliferation Department Foreign and Commonwealth Office 	Q15989806
ARKWRIGHT, PAUL T.	2009	2013	Ambassador to the Netherlands 	Q15989806
ARKWRIGHT, PAUL T.	2013	2015	Director Multilateral Policy Foreign and Commonwealth Office 	Q15989806
ARKWRIGHT, PAUL T.	2015		High Commissioner to Nigeria 	Q15989806
ARMITAGE, HENRY ST.J. B.	1974	1978	Consul-General Dubai United Arab Emirates 	
ARMOUR, NICHOLAS H.S.	1991	1994	Counsellor and Head of Chancery/Deputy Head of Mission Oman 	
ARMOUR, NICHOLAS H.S.	1997	2000	Consul-General Dubai 	
ARMOUR, NICHOLAS H.S.	2000	2003	Head of North America Department Foreign and Commonwealth Office 	
ARMOUR, NICHOLAS H.S.	2003	2005	Senior Civilian Instructor Royal College of Defence Studies 	
ARMOUR, NICHOLAS H.S.	2005	2009	Consul-General Toronto 	
ARMOUR, NICHOLAS H.S.	2009	2012	Director International Group U.K. Trade and Investment 	
ARMSTRONG, SIR HARRY GLOSTER-	1919	1920	Consul-General Boston 	
ARMSTRONG, SIR HARRY GLOSTER-	1920	1931	Consul-General New York 	
ARNOLD, CATHERINE E.J.	2015	2018	Ambassador to Mongolia 	Q42907852
ARON, MICHAEL D.	1998	1999	Head of Management Consultancy and Inspection Department Foreign and Commonwealth Office 	Q16929538
ARON, MICHAEL D.	1999	2002	Counsellor and Deputy Head of Mission Jordan 	Q16929538
ARON, MICHAEL D.	2002	2006	Counsellor (Political) U.K. Permanent Representation to the European Union 	Q16929538
ARON, MICHAEL D.	2008	2009	Ambassador to Kuwait 	Q16929538
ARON, MICHAEL D.	2010	2011	Head of Middle East Department Foreign and Commonwealth Office 	Q16929538
ARON, MICHAEL D.	2011	2012	Ambassador to Iraq 	Q16929538
ARON, MICHAEL D.	2013	2015	Ambassador to Libya 	Q16929538
ARON, MICHAEL D.	2015		Ambassador to Sudan 	Q16929538
ARON, RACHEL A.G.	2007	2010	Ambassador to Belgium 	
ARTHINGTON-DAVY, HUMPHREY A.	1968	1970	Deputy High Commissioner Mauritius 	
ARTHINGTON-DAVY, HUMPHREY A.	1973	1980	High Commissioner to Tonga and Western Samoa 1973-1977	
ARTHUR, SIR GEOFFREY G.	1959	1963	Counsellor Embassy United Arab Republic 	Q19873491
ARTHUR, SIR GEOFFREY G.	1963	1966	Head of Permanent Under-Secretary’s Department Foreign Office 	Q19873491
ARTHUR, SIR GEOFFREY G.			Head of Defence Department Foreign Office 	Q19873491
ARTHUR, SIR GEOFFREY G.	1967	1968	Ambassador to Kuwait 	Q19873491
ARTHUR, SIR GEOFFREY G.	1968	1970	Assistant Under-Secretary for Foreign Affairs (Middle East and North Africa) 	Q19873491
ARTHUR, SIR GEOFFREY G.	1970	1971	Political Resident Persian Gulf 	Q19873491
